,original_title,year_of_release,genres,summary,actors,Movie_COL
2305,Karz Chukana Hai,1991,Drama,Alcoholic  arrogant  and a slacker  Atmaram  though coming from a poor family  has visions of grandeur  and believes that everyone else is subordinate to his wishes and instructions. This ...                    ,Govinda,Karz Chukana Hai Drama Alcoholic  arrogant  and a slacker  Atmaram  though coming from a poor family  has visions of grandeur  and believes that everyone else is subordinate to his wishes and instructions. This ...                     Govinda
2306,Khoon Ka Karz,1991,Action Crime Drama,Arrested for a wide variety of infringements of the Indian Penal Code  Karan  Kishan and Arjun recount to the Court how two of them were adopted and nursed by a saintly woman  Sarita Devi; ...                    ,Vinod Khanna,Khoon Ka Karz Action Crime Drama Arrested for a wide variety of infringements of the Indian Penal Code  Karan  Kishan and Arjun recount to the Court how two of them were adopted and nursed by a saintly woman  Sarita Devi; ...                     Vinod Khanna
2307,Indrajeet,1991,Action Drama,In order to continue suppressing the workers in his company; multi-millionaire  Din Dayal gets a union leader and his wife murdered. When inspector Indrajeet attempts to arrest Dayal his ...                    ,Amitabh Bachchan,Indrajeet Action Drama In order to continue suppressing the workers in his company; multi-millionaire  Din Dayal gets a union leader and his wife murdered. When inspector Indrajeet attempts to arrest Dayal his ...                     Amitabh Bachchan
2308,Jaan Pechaan,1991,Comedy Drama,Jagmohan (Utpal Dutt) wants his womanizing son  Raja (Shekar Suman) to marry and settle down. He asks Raja to go and see Hema (Sudha Chandran)  and if he finds her compatible  they can get ...                    ,Radha Asrani,Jaan Pechaan Comedy Drama Jagmohan (Utpal Dutt) wants his womanizing son  Raja (Shekar Suman) to marry and settle down. He asks Raja to go and see Hema (Sudha Chandran)  and if he finds her compatible  they can get ...                     Radha Asrani
2309,Khilaaf,1991,Action Comedy Crime,A poor college student  Vikram Veerpratap Singh  living with his widowed grandmother  becomes infatuated with a wealthy beauty  Shweta Sangwan  initially woos her unsuccessfully  but is ...                    ,Mahesh Anand,Khilaaf Action Comedy Crime A poor college student  Vikram Veerpratap Singh  living with his widowed grandmother  becomes infatuated with a wealthy beauty  Shweta Sangwan  initially woos her unsuccessfully  but is ...                     Mahesh Anand
2310,Kohraam,1991,Action,In the village of Rameshpur the Thakur (Sadashiv Amrapurkar) and Kalia Singh (Amrish Pun) were all powerful with their vicious unjust rule. The whole village used to dance according to ...                    See full synopsis »,Sadashiv Amrapurkar,Kohraam Action In the village of Rameshpur the Thakur (Sadashiv Amrapurkar) and Kalia Singh (Amrish Pun) were all powerful with their vicious unjust rule. The whole village used to dance according to ...                    See full synopsis » Sadashiv Amrapurkar
2311,Iraada,1991,Drama,Wealthy Mr. Nath is out to tarnish the image of his niece Kiran  who runs a construction business. His intentions are to usurp her business. Ashok  who works with Kiran stands by her and ...                    ,Shatrughan Sinha,Iraada Drama Wealthy Mr. Nath is out to tarnish the image of his niece Kiran  who runs a construction business. His intentions are to usurp her business. Ashok  who works with Kiran stands by her and ...                     Shatrughan Sinha
2312,Kurbaan,1991,Action Drama Romance,Maan Singh and Prithvi Singh's families have been locked in a property dispute in a court in India. When the Court gives a verdict in favor of Prithvi  Maan hires a bandit named Panna Singh to kill Prithvi and all of his family.,Sunil Dutt,Kurbaan Action Drama Romance Maan Singh and Prithvi Singh's families have been locked in a property dispute in a court in India. When the Court gives a verdict in favor of Prithvi  Maan hires a bandit named Panna Singh to kill Prithvi and all of his family. Sunil Dutt
2313,Jigarwala,1991,Action Drama,Ranjeet Singh lives in a small village with his wife  Laxmi  and younger brother  Amar. The village Zamindar  Dhurjan Singh  is angered at Ranjeet for speaking out against him and his ...                    ,Anil Kapoor,Jigarwala Action Drama Ranjeet Singh lives in a small village with his wife  Laxmi  and younger brother  Amar. The village Zamindar  Dhurjan Singh  is angered at Ranjeet for speaking out against him and his ...                     Anil Kapoor
2314,Kaun Kare Kurbanie,1991,Action Crime Drama,After his transfer from Delhi  Inspector Arjun Singh lives in Bombay along with his wife  Anita  school-going son  Munna; and a younger collegian brother  Ajit. Arjun is disappointed with ...                    ,Dharmendra,Kaun Kare Kurbanie Action Crime Drama After his transfer from Delhi  Inspector Arjun Singh lives in Bombay along with his wife  Anita  school-going son  Munna; and a younger collegian brother  Ajit. Arjun is disappointed with ...                     Dharmendra
2315,Lamhe,1991,Drama Musical Romance,Yash Chopra's most cherished film with soul-stirring music is a story of moments - moments of passion  of ecstasy and of life-changing love.,Anil Kapoor,Lamhe Drama Musical Romance Yash Chopra's most cherished film with soul-stirring music is a story of moments - moments of passion  of ecstasy and of life-changing love. Anil Kapoor
2316,Kasba,1991,Drama,Maniram lives in a town and is a crooked businessman. The elder son is jailed for counterfeit currency. The younger son is a mad simpleton and married  but his wife loves another guy. She goes in business with land wrestled from Maniram.,Navjot Hansra,Kasba Drama Maniram lives in a town and is a crooked businessman. The elder son is jailed for counterfeit currency. The younger son is a mad simpleton and married  but his wife loves another guy. She goes in business with land wrestled from Maniram. Navjot Hansra
2317,Khooni Raat,1991,Horror,Add a Plot »,Beena Banerjee,Khooni Raat Horror Add a Plot » Beena Banerjee
2318,Love,1991,Drama Musical Romance,Prithvi and Maggie fall in love and decide to get married  but Maggie's mother objects looking at Prithvi's past.,Salman Khan,Love Drama Musical Romance Prithvi and Maggie fall in love and decide to get married  but Maggie's mother objects looking at Prithvi's past. Salman Khan
2319,Mast Kalandar,1991,Action Drama Thriller,Widower Rai Bahadur Pratap Singh lives a wealthy life-style with his son. He would like his son to marry some girl from a rich family  and is disappointed when he wants to marry someone ...                    ,Dharmendra,Mast Kalandar Action Drama Thriller Widower Rai Bahadur Pratap Singh lives a wealthy life-style with his son. He would like his son to marry some girl from a rich family  and is disappointed when he wants to marry someone ...                     Dharmendra
2320,Khooni Panja,1991,Horror,Seema is murdered by her husband and her hand dismembered. This hand proceeds to capture the body of Pinky and systematically kills her entire in-law family in order to extract revenge on her husband who is killed by his brother Ajay.,Anil Dhawan,Khooni Panja Horror Seema is murdered by her husband and her hand dismembered. This hand proceeds to capture the body of Pinky and systematically kills her entire in-law family in order to extract revenge on her husband who is killed by his brother Ajay. Anil Dhawan
2321,Lakshmanrekha,1991,Drama,Amar Sharma (Naseeruddin Shah) and Vicky (Jackie Shroff) are two close friends. Amar is a police inspector  but Vicky is a career criminal  who has no respect for the law. But fate has a ...                    ,Naseeruddin Shah,Lakshmanrekha Drama Amar Sharma (Naseeruddin Shah) and Vicky (Jackie Shroff) are two close friends. Amar is a police inspector  but Vicky is a career criminal  who has no respect for the law. But fate has a ...                     Naseeruddin Shah
2322,Mehandi Ban Gai Khoon,1991,Action,Add a Plot »,Birbal,Mehandi Ban Gai Khoon Action Add a Plot » Birbal
2323,Patthar Ke Phool,1991,Action Drama Romance,A young police officer and the daughter of a gangster fall in love at first sight.,Salman Khan,Patthar Ke Phool Action Drama Romance A young police officer and the daughter of a gangster fall in love at first sight. Salman Khan
2324,Phool Aur Kaante,1991,Action Crime Drama,A young man who despises his father's criminal profession  wants to live a peaceful life away from him but fate has some other plans.,Ajay Devgn,Phool Aur Kaante Action Crime Drama A young man who despises his father's criminal profession  wants to live a peaceful life away from him but fate has some other plans. Ajay Devgn
2325,Maa,1992,Drama,"A multi-millionaire  Ram Khanna  is advised by a fake astrologer that he will meet and marry a woman whose name will start with ""M"". Ram does meet Mamta  and they both fall in love. Ram ...                    ",Jeetendra,"Maa Drama A multi-millionaire  Ram Khanna  is advised by a fake astrologer that he will meet and marry a woman whose name will start with ""M"". Ram does meet Mamta  and they both fall in love. Ram ...                     Jeetendra"
2326,Phool Bane Angaarey,1991,Action Drama,Dutta babu is standing for elections against a cunning  corrupt  & established gangster  Bishamber Prasad  who is also powerful and influential enough to swing the election his way  as well...                    ,Rekha,Phool Bane Angaarey Action Drama Dutta babu is standing for elections against a cunning  corrupt  & established gangster  Bishamber Prasad  who is also powerful and influential enough to swing the election his way  as well...                     Rekha
